fileID,f1,f2,vot,notes
bi01_kaka,658.12,1640.54,27.74,
bi01_kaka1,705.07,1568.44,25.90,
bi01_kaka2,700.78,1571.94,36.21,
bi01_keke,504.91,2210.46,29.15,
bi01_keke1,1121.37,2155.91,42.42,
bi01_keke2,542.39,2312.24,50.59,
bi01_kiki,813.28,2707.20,28.22,
bi01_kiki1,351.18,2633.49,57.55,
bi01_kiki2,492.41,2754.48,60.71,
bi01_koko,498.22,1049.83,35.78,
bi01_koko1,512.98,1011.36,33.39,
bi01_koko2,592.05,1091.59,28.29,
bi01_kuku,519.01,1086.77,34.61,
bi01_kuku1,454.62,1089.62,35.78,
bi01_kuku2,235.44,1518.27,31.35,
bi01_paka,558.03,1791.79,20.49,
bi01_paka1,479.38,1256.76,33.83,
bi01_paka2,720.86,1588.81,25.87,
bi01_peke,478.97,2375.45,25.50,
bi01_peke1,539.37,2376.93,20.67,
bi01_peke2,583.04,2204.40,16.57,
bi01_piki,394.81,2575.24,35.86,
bi01_piki1,278.49,2586.59,36.13,
bi01_piki2,413.17,2696.61,24.73,
bi01_poko,457.77,1183.04,36.85,
bi01_poko1,472.19,1064.12,24.42,
bi01_poko2,411.07,1001.82,31.13,
bi01_puku,434.38,936.19,32.11,
bi01_puku1,425.57,920.04,53.51,
bi01_puku2,425.26,978.99,30.51,
bi01_taka,425.26,978.99,30.51,
bi01_taka1,696.80,1677.41,26.28,
bi01_taka2,316.61,1381.40,31.88,
bi01_teke,524.17,2323.45,27.49,
bi01_teke1,673.30,2309.57,28.17,
bi01_teke2,521.94,2323.46,28.29,
bi01_tiki,302.71,2628.74,21.86,
bi01_tiki1,451.94,2629.02,29.04,
bi01_tiki2,443.90,2669.16,36.94,
bi01_toko,597.48,1152.62,32.11,
bi01_toko1,527.33,1059.77,26.19,
bi01_toko2,511.12,1073.41,34.23,
bi01_tuku,542.61,833.93,28.38,
bi01_tuku1,475.27,1020.16,37.20,
bi01_tuku2,428.60,958.29,24.02,
